Date,Month,Year,State,Rural Arterial Miles,Urban Arterial Miles,All Miles,Rural Arterial Stations,Urban Arterial Stations,All Stations,Other Miles,Other Stations,Total VMT (Million),Year To Date VMT (Million),Moving 12-Month VMT (Million),VMT Change Rate(Monthly),VMT Change Rate (Annually),GDP in billions of current dollars,Monthly Labor Participation Rate,CPI,Inflation,Monthly Unemployment rate,Monthly Unemployment in tenth
1921-03-01,Mar,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,-7.106598984771562,0.0,0.0
1921-04-01,Apr,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,-10.83743842364532,0.0,0.0
1921-05-01,May,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,-14.077669902912628,0.0,0.0
1921-06-01,Jun,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,-15.78947368421051,0.0,0.0
1921-07-01,Jul,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,-14.903846153846157,0.0,0.0
1921-08-01,Aug,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,-12.80788177339902,0.0,0.0
1921-09-01,Sep,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,-12.5,0.0,0.0
1921-10-01,Oct,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,-12.060301507537686,0.0,0.0
1921-11-01,Nov,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,-12.121212121212132,0.0,0.0
1921-12-01,Dec,1921,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,-10.824742268041232,0.0,0.0
1922-01-01,Jan,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,-11.05263157894738,0.0,0.0
1922-02-01,Feb,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,-8.15217391304348,0.0,0.0
1922-03-01,Mar,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,-8.743169398907114,0.0,0.0
1922-04-01,Apr,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,-7.734806629834267,0.0,0.0
1922-05-01,May,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,-5.649717514124298,0.0,0.0
1922-06-01,Jun,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,-5.113636363636376,0.0,0.0
1922-07-01,Jul,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,-5.0847457627118615,0.0,0.0
1922-08-01,Aug,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,-6.214689265536711,0.0,0.0
1922-09-01,Sep,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,-5.142857142857138,0.0,0.0
1922-10-01,Oct,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,-4.571428571428571,0.0,0.0
1922-11-01,Nov,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,-3.44827586206895,0.0,0.0
1922-12-01,Dec,1922,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,-2.3121387283237094,0.0,0.0
1923-01-01,Jan,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,-0.5917159763313529,0.0,0.0
1923-02-01,Feb,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,-0.5917159763313529,0.0,0.0
1923-03-01,Mar,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.5988023952095967,0.0,0.0
1923-04-01,Apr,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,1.197604790419149,0.0,0.0
1923-05-01,May,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,1.197604790419149,0.0,0.0
1923-06-01,Jun,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.7964071856287456,0.0,0.0
1923-07-01,Jul,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,2.3809523809523725,0.0,0.0
1923-08-01,Aug,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,3.0120481927710774,0.0,0.0
1923-09-01,Sep,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,3.61445783132528,0.0,0.0
1923-10-01,Oct,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,3.592814371257491,0.0,0.0
1923-11-01,Nov,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,2.9761904761904656,0.0,0.0
1923-12-01,Dec,1923,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,2.366863905325456,0.0,0.0
1924-01-01,Jan,1924,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,2.9761904761904656,0.0,0.0
1924-02-01,Feb,1924,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,2.3809523809523725,0.0,0.0
1924-03-01,Mar,1924,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,1.7857142857142794,0.0,0.0
1924-04-01,Apr,1924,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.591715976331364,0.0,0.0
1924-05-01,May,1924,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.591715976331364,0.0,0.0
